messages_author_id,threads_author_id
1232362,168267
13382,3625201
217626,1519348
547795,3466218
3904562,259654
1390501,3196507
745314,3758282
3881835,3493147
17660,2542695
400,4138810
3656355,4200638
3957004,3924473
331309,2986513
3483576,3517242
3503773,3646798
983685,1173391
3487693,3527821
34385,624974
546021,3503958
238251,183511
3638205,3808861
3929066,3903331
712516,3646878
2444611,3675886
3766712,1250468
3503773,3579113
403,3468536
1788098,3516528
4047695,481984
3730283,777944
3659920,4011777
3642145,3966921
3495544,3477533
3929,3400453
425126,3487530
1384451,3504374
3710364,3525042
3760266,1045
3795943,4130565
2615012,3644017
3481315,3714580
548787,3696467
4925,1175
3583370,3755981
3693743,2044087
1080954,687303
4925,3558371
1475290,1295716
3663368,4097187
3588893,957801
400,3665291
1171762,629089
3462453,3597956
3623849,3602101
3467240,3642169
3603825,122114
1009841,3599335
3475734,3954513
3503773,3640711
3465181,3675693
3693743,187268
3467807,1568561
3926556,3625128
3585030,3626552
3611371,281722
3512189,987555
3967064,3575743
3843993,3707435
121318,2388301
4604,993032
3917516,3690311
581663,632986
4138007,3836634
3608619,3515801
2345488,3907102
4604,3514038
3795943,3851644
